title,brand sponsor,description,date,venue,event_type,tags/_text,time,tags/_source,tags,pageUrl,level,theme
Innovators+SocialGood,,Join us for the after-party of the third annual social innovators summit focused on bringing the best conversations around impact and social good from around the world and here in Austin.,"Sunday, March 15",Austin City Hall 301 W 2nd St,,,6:00PM - 10:00PM,,,http://schedule.sxsw.com/2015/2015/events/event_OE03852,,
International Startup Happy Hour,,"Come join us for well deserved drinks and apps on March 14 at 6PM at Hilton Salon H before you disappear into the night.; Design Terminal Budapest is hosting a Happy Hour with Parker Thompson, Partner at 500 Startups, Peter Halacsy, Co-Founder and CTO of Prezi, Gyula Feher, Co-Founder and CTO of Ustream and Patrick Vlaskovits, NYT bestselling author of The Lean Entrepreneur.; We’ll shake off a long day with a shot of Hungarian brandy and play around with some awesome new hardware including an automated brewery, remote controlled LEGO® creations and brain sensors provided by a delegation of wicked Budapest-based startups.; The International Startup Happy Hour is the official after party of the Made in Budapest panel featuring Prezi and Ustream at March 14 5-6PM at Hilton Salon K.; See you at 6pm at Hilton Salon H. Cheers!","Saturday, March 14",Hilton Austin Downtown H 500 E 4th St,global connections global,global connections; global,6:00PM - 7:00PM,/2015/tags/global+connections; /2015/tags/global,http://schedule.sxsw.com/2015/tags/global+connections; http://schedule.sxsw.com/2015/tags/global,http://schedule.sxsw.com/2015/2015/events/event_OE03923,,
Inventing to Nowhere Documentary Watch Party,,"Inventing to Nowhere follows the story of two inventors encountering patent legislation that threatens their business. Join us for a watch party with free food, drinks, and a Q&A with key players from the debate and be sure to check out: http://savetheinventor.com/SXSW","Sunday, March 15",Driskill Hotel 604 Brazos St,Party,Party,5:30PM - 12:00AM,/2015/tags/Party,http://schedule.sxsw.com/2015/tags/Party,http://schedule.sxsw.com/2015/2015/events/event_OE03785,,
Ireland @ SXSW 2015,,"Come and celebrate with the Irish at B.D. Riley's.; Meet the delegates as Ireland @ SXSW 2015 rolls into Austin. Network with a group of amazing tech companies and enjoy some food, drinks and music.; #IrelandSXSW","Sunday, March 15",BD Riley's 204 E 6th St,global connections global,global connections; global,5:30PM - 8:00PM,/2015/tags/global+connections; /2015/tags/global,http://schedule.sxsw.com/2015/tags/global+connections; http://schedule.sxsw.com/2015/tags/global,http://schedule.sxsw.com/2015/2015/events/event_OE03725,,
JAPAN DAY @SXSW 2015,,"Celebrate Japan Day with free sushi, sake and live Japanese pop music! Discover new start-ups, new internet radio service, ioT furniture, meet the creative technologist, women entrepreneurs and more! www.japan-day.com","Tuesday, March 17",Highland 404 Colorado St,global global connections,global; global connections,12:00PM - 6:00PM,/2015/tags/global; /2015/tags/global+connections,http://schedule.sxsw.com/2015/tags/global; http://schedule.sxsw.com/2015/tags/global+connections,http://schedule.sxsw.com/2015/2015/events/event_OE04006,,
Japanese Makers & Hardware Party by DMM.make AKIBA,,Kick off SXSW 2015 at DMM.make AKIBA's Party. You can communicate with Japanese Maker and enjoy performance using their Hardware and Technology they have produced. Enjoy the first night of the Trade Show!,"Sunday, March 15",Soho Lounge 217 E 6th St,global connections global,global connections; global,6:00PM - 11:30PM,/2015/tags/global+connections; /2015/tags/global,http://schedule.sxsw.com/2015/tags/global+connections; http://schedule.sxsw.com/2015/tags/global,http://schedule.sxsw.com/2015/2015/events/event_OE03878,,
Japanese Makers & Hardware Party by DMM.make AKIBA,,Kick off SXSW 2015 at DMM.make AKIBA's Party. You can communicate with Japanese Maker and enjoy performance using their Hardware and Technology they have produced. Enjoy the first night of the Trade Show!,"Monday, March 16",Soho Lounge 217 E 6th St,global connections global,global connections; global,6:00PM - 11:30PM,/2015/tags/global+connections; /2015/tags/global,http://schedule.sxsw.com/2015/tags/global+connections; http://schedule.sxsw.com/2015/tags/global,http://schedule.sxsw.com/2015/2015/events/event_OE03920,,
Jash Happy Hour,JASH,Brooklyn meets Austin at the JASH Happy Hour featuring live performances from Reggie Watts and friends Kurt Braunohler & Wyatt Cenac. We will have cocktails and delicious food. JASH Happy Hour: the perfect kick off for your Saturday night,"Saturday, March 14",The Market 319 Colorado St,,,4:00PM - 6:00PM,,,http://schedule.sxsw.com/2015/2015/events/event_OE04252,,
John Mackey Kicks Off dProgram SXSW Launch Party,,"Kickoff Interactive 2015 with exclusive event: John Mackey, co-CEO of Whole Foods Market presents Conscious Capitalism. Celebrate the launch of dProgram SXSW with a party on Austin's famous 6th Street. Register http://dprogram.org","Friday, March 13",Parish 214C E 6th St,Party Cocktails,Party; Cocktails,6:30PM - 12:00AM,/2015/tags/Party; /2015/tags/Cocktails,http://schedule.sxsw.com/2015/tags/Party; http://schedule.sxsw.com/2015/tags/Cocktails,http://schedule.sxsw.com/2015/2015/events/event_OE03844,,
Knight Foundation’s County Fair,Knight Foundation,"Come explore media innovation in a down-home setting! Enjoy snacks, drinks, interactive game & demos of new journalism and civic tech projects. Meet a community that's building solutions to the challenge of informing & engaging communities.","Sunday, March 15",Palm Door on Sixth 508 E 6th St,party,party,12:00PM - 6:00PM,/2015/tags/party,http://schedule.sxsw.com/2015/tags/party,http://schedule.sxsw.com/2015/2015/events/event_OE03851,,
