"Object","Close-Approach (CA) Date (TDB)YYYY-mmm-DD HH:MM ± D_HH:MM","CA DistanceNominal(LD/AU)","CA DistanceMinimum(LD/AU)","Vrelative(km/s)","Vinfinity(km/s)","Nsigma","H(mag)","ref","class"
"(2016 FB13)","2016-Apr-03 01:34 ±","1.23/0.00317","1.23/0.00317","18.06","18.01","3.07e+03","26.7","6","APO*"
"(2016 NA)","2016-Jul-01 16:56 ±","1.26/0.00323","1.26/0.00323","7.49","7.38","3.73e+03","26.9","3","APO*"
"(2015 TB145)","2015-Oct-31 17:01 ±","1.27/0.00325","1.27/0.00325","34.95","34.92","2.84e+06","20.0","58","APO*"
"(2016 JN38)","2016-Apr-30 02:27 ±   02:05","1.28/0.00329","1.15/0.00295","19.79","19.75","27.6","29.1","2","APO*"
"(2015 SZ2)","2015-Sep-30 07:54 ±","1.32/0.00338","1.32/0.00338","6.14","6.01","5.86e+05","25.4","20","APO*"
"(2016 JB18)","2016-Apr-13 03:23 ±   00:14","1.32/0.00338","1.31/0.00337","3.45","3.22","947","27.4","12","APO*"
"(2015 XR169)","2015-Dec-13 16:35 ±","1.32/0.00339","1.32/0.00338","9.51","9.43","1.04e+03","28.7","6","APO*"
"(2016 SF1)","2016-Sep-10 14:43 ±   00:22","1.32/0.00340","1.29/0.00330","8.59","8.50","63.2","24.7","1","APO*"
"(2016 RK40)","2016-Sep-07 23:01 ±   00:01","1.35/0.00346","1.34/0.00344","14.68","14.63","305","27.4","1","APO*"
"(2016 EM156)","2016-Mar-16 06:24 ±","1.38/0.00355","1.38/0.00355","9.00","8.91","7.4e+03","27.9","10","APO*"
"(2016 GE1)","2016-Apr-05 11:29 ±","1.38/0.00356","1.38/0.00355","10.05","9.98","2.95e+03","26.6","5","APO*"
"(2016 EU84)","2016-Mar-08 08:35 ±","1.39/0.00357","1.39/0.00357","2.67","2.37","7e+03","29.0","8","ATE*"
"(2016 EO28)","2016-Feb-29 03:57 ±","1.40/0.00360","1.40/0.00359","7.20","7.10","849","29.2","11","APO*"
"(2016 EW85)","2016-Mar-16 13:10 ±","1.43/0.00367","1.43/0.00367","12.96","12.90","1.86e+03","27.6","6","APO*"
"(2016 AN66)","2015-Dec-31 17:22 ±   00:05","1.45/0.00372","1.44/0.00371","5.44","5.31","655","27.3","7","APO*"
"(2015 YQ1)","2015-Dec-22 02:06 ±","1.45/0.00372","1.45/0.00372","12.38","12.32","1.98e+03","28.0","7","APO*"
"(2015 XP)","2015-Dec-05 13:44 ±","1.45/0.00372","1.45/0.00372","8.14","8.05","2.09e+03","25.8","5","APO*"
"(2016 LA49)","2016-Jun-12 01:51 ±","1.47/0.00377","1.47/0.00377","5.03","4.88","1.97e+03","27.5","6","APO*"
"(2015 YA)","2015-Dec-15 04:49 ±","1.50/0.00385","1.50/0.00384","8.77","8.69","1.08e+03","27.4","6","ATE*"
"(2016 CH30)","2016-Feb-07 22:32 ±","1.50/0.00386","1.50/0.00386","5.56","5.43","2.2e+03","28.0","3","ATE*"
"(2016 GP221)","2016-Apr-18 06:21 ±","1.54/0.00396","1.54/0.00395","19.79","19.75","1.45e+03","25.9","5","APO*"
"(2016 EN156)","2016-Mar-19 09:10 ±","1.57/0.00402","1.56/0.00402","7.86","7.78","2.25e+03","27.8","8","APO*"
"(2016 JQ5)","2016-May-09 09:49 ±","1.57/0.00404","1.57/0.00404","10.07","10.00","3.63e+03","28.1","6","APO*"
"(2015 WZ1)","2015-Nov-22 17:59 ±","1.59/0.00408","1.58/0.00407","16.50","16.46","1.45e+03","29.6","3","APO*"
"(2016 JD18)","2016-May-16 23:25 ±","1.63/0.00418","1.63/0.00418","14.86","14.82","5.94e+04","24.7","23","APO*"
"(2015 VN64)","2015-Nov-03 17:41 ±","1.64/0.00422","1.63/0.00420","15.82","15.78","413","27.5","5","APO*"
"(2016 FA14)","2016-Mar-28 06:32 ±","1.65/0.00424","1.65/0.00423","15.24","15.20","772","27.2","5","APO*"
"(2016 CN31)","2016-Jan-30 03:21 ±   00:02","1.70/0.00437","1.69/0.00433","14.15","14.11","245","27.3","2","APO*"
"(2016 CE)","2016-Feb-04 23:27 ±","1.74/0.00448","1.74/0.00447","8.18","8.11","3.4e+03","28.5","3","ATE*"
"(2016 CL137)","2016-Feb-05 15:33 ±   00:01","1.81/0.00464","1.80/0.00463","21.37","21.34","764","25.8","3","APO*"
"(2016 FV13)","2016-Apr-11 00:13 ±","1.81/0.00465","1.81/0.00465","10.96","10.91","2.95e+03","26.0","10","APO*"
"(2016 LY10)","2016-Jun-10 02:55 ±","1.81/0.00466","1.81/0.00466","6.94","6.86","1.9e+03","28.5","2","APO*"
"(2016 DN2)","2016-Mar-05 13:48 ±","1.82/0.00468","1.82/0.00467","8.99","8.92","3.04e+03","26.9","7","APO*"
"(2015 WJ2)","2015-Nov-17 13:19 ±   00:03","1.82/0.00468","1.80/0.00462","19.71","19.68","184","26.0","2","APO*"
"(2015 VK1)","2015-Oct-31 05:36 ±","1.84/0.00472","1.83/0.00471","14.63","14.59","920","26.6","10","ATE*"
"(2016 EG28)","2016-Mar-03 14:56 ±","1.85/0.00476","1.85/0.00476","14.78","14.75","1.47e+03","28.0","10","APO*"
"(2016 RR19)","2016-Sep-04 09:58 ±","1.86/0.00477","1.85/0.00474","10.65","10.60","368","28.6","1","APO*"
"(2016 LG10)","2016-Jun-03 10:09 ±","1.86/0.00479","1.86/0.00478","8.65","8.58","2.86e+03","25.6","11","APO*"
"(2016 CO248)","2016-Feb-09 11:56 ±","1.86/0.00479","1.86/0.00478","4.94","4.83","963","27.5","8","ATE*"
"(2016 NO56)","2016-Jul-06 20:59 ±","1.90/0.00489","1.90/0.00488","12.11","12.07","829","25.7","1","APO*"
"(2015 YM1)","2015-Dec-15 22:29 ±","1.95/0.00500","1.94/0.00499","6.90","6.82","1.33e+03","28.4","7","APO*"
"(2016 CN248)","2016-Feb-14 01:11 ±","1.97/0.00507","1.97/0.00506","13.45","13.41","1.65e+03","27.3","2","APO*"
