Object,Close-Approach (CA) Date (TDB)YYYY-mmm-DD HH:MM ± D_HH:MM,CA DistanceNominal(LD/AU),CA DistanceMinimum(LD/AU),Vrelative(km/s),Vinfinity(km/s),Nsigma,H(mag),ref,class
(2014 XO7),2014-Dec-06 20:27 ±   00:02,3.2/0.0083,3.2/0.0082,11.92,11.89,373,26.8,3,APO*
(2015 BE92),2015-Jan-29 01:25 ±,3.2/0.0083,3.2/0.0083,6.05,6.00,1.53e+03,28.0,9,ATE*
(2014 HQ124),2014-Jun-08 05:56 ±,3.3/0.0084,3.3/0.0084,14.05,14.03,4.24e+06,18.9,43,ATE*
(2014 HO2),2014-Apr-11 01:54 ±   00:02,3.3/0.0084,3.2/0.0083,7.31,7.27,366,26.0,6,APO*
(2014 KO4),2014-May-18 16:20 ±,3.3/0.0085,3.3/0.0084,16.32,16.30,266,27.3,3,APO*
(2014 HJ198),2014-Apr-20 18:08 ±   07:23,3.3/0.0085,2.3/0.0060,21.38,21.36,9.19,26.8,2,APO*
(2014 SS223),2014-Sep-21 14:02 ±,3.3/0.0086,3.3/0.0085,14.50,14.47,1.04e+03,26.1,3,APO*
(2015 CS),2015-Feb-15 11:21 ±,3.4/0.0086,3.4/0.0086,8.52,8.48,2.65e+03,26.5,9,APO*
(2015 EQ),2015-Mar-12 11:06 ±,3.4/0.0087,3.4/0.0087,10.07,10.04,2.59e+03,26.2,6,ATE*
(2014 MA18),2014-Jun-18 06:12 ±,3.4/0.0088,3.4/0.0088,8.35,8.31,668,25.5,4,ATE*
(2014 LJ),2014-May-24 05:02 ±,3.4/0.0088,3.4/0.0088,3.90,3.82,546,28.5,8,APO*
(2015 FF36),2015-Mar-28 06:16 ±,3.5/0.0091,3.5/0.0091,8.81,8.78,1.88e+03,26.5,3,APO*
(2014 SS143),2014-Sep-29 07:41 ±,3.6/0.0093,3.6/0.0093,11.70,11.67,807,27.0,6,APO*
(2014 UX57),2014-Nov-06 20:39 ±,3.6/0.0093,3.6/0.0093,8.37,8.33,432,26.4,7,APO*
(2015 FK),2015-Mar-19 06:53 ±,3.6/0.0094,3.6/0.0094,7.02,6.98,3.97e+03,25.3,3,APO*
(2014 HU2),2014-Apr-25 02:02 ±,3.7/0.0095,3.7/0.0095,17.29,17.27,670,26.5,3,APO*
(2015 DF200),2015-Feb-23 06:21 ±   00:02,3.7/0.0095,3.7/0.0094,16.48,16.46,209,26.1,2,APO*
(2014 SD145),2014-Sep-21 14:23 ±,3.7/0.0096,3.7/0.0095,4.93,4.87,1.72e+03,26.9,5,APO*
(2014 RT17),2014-Sep-07 16:45 ±,3.7/0.0096,3.7/0.0095,20.01,20.00,181,24.5,5,APO*
(2014 HP2),2014-Apr-24 06:34 ±,3.8/0.0098,3.8/0.0097,6.29,6.24,459,27.3,5,APO*
(2014 YT15),2014-Dec-29 09:55 ±,3.8/0.0098,3.8/0.0098,6.40,6.35,1.68e+03,27.2,3,APO*
(2014 OF300),2014-Aug-07 09:43 ±,3.8/0.0098,3.8/0.0098,15.55,15.54,447,26.3,7,APO*
